0 1
0.05 0.99858
0.1 0.99466
0.15 0.98668
0.2 0.97164
0.25 0.95262
0.3 0.91622
0.305 0.91212
0.31 0.90526
0.315 0.89838
0.32 0.89208
0.325 0.88918
0.33 0.88298
0.335 0.83522
0.34 0.8707
0.345 0.82108
0.35 0.74746
0.355 0.57472
0.36 0.49238
0.365 0.20174
0.37 0.06082
0.375 0.03702
0.38 0.04444
0.385 0.04112
0.39 0.03358
0.395 0.03172
0.4 0.023
0.405 0.03114
0.41 0.01928
0.415 0.04082
0.42 0.02152
0.425 0.01954
0.43 0.0199
0.435 0.01944
0.44 0.01564
0.445 0.02638
0.45 0.0245
0.5 0.01792
0.55 0.01366
0.6 0.01298
0.65 0.0129
0.7 0.01326
0.75 0.0093
0.8 0.01218
0.85 0.01268
0.9 0.00848
0.95 0.01354
