0 1
0.05 0.99868
0.1 0.9943
0.15 0.98536
0.2 0.97198
0.25 0.9529
0.3 0.91548
0.305 0.9126
0.31 0.90634
0.315 0.90136
0.32 0.89704
0.325 0.8901
0.33 0.88294
0.335 0.8735
0.34 0.8691
0.345 0.85728
0.35 0.8493
0.355 0.84274
0.36 0.79094
0.365 0.54284
0.37 0.15074
0.375 0.0179
0.38 -0.00348
0.385 -0.0067
0.39 0.00092
0.395 -0.00332
0.4 -0.00892
0.405 -0.000540001
0.41 0.00078
0.415 0.00214
0.42 0.0104
0.425 -0.0012
0.43 -0.00332
0.435 -0.00838
0.44 9.99999e-05
0.445 0.00744
0.45 -0.00234
0.5 0.0106
0.55 0.00024
0.6 0.00406
0.65 -0.00046
0.7 -0.00442
0.75 0.00294
0.8 0.00706
0.85 -0.00398
0.9 -0.00436
0.95 -0.002
