0 1
0.05 0.99864
0.1 0.99488
0.15 0.98676
0.2 0.97462
0.25 0.95424
0.3 0.92754
0.35 0.89024
0.4 0.83056
0.41 0.8164
0.42 0.8016
0.43 0.78252
0.44 0.76322
0.45 0.74336
0.46 0.71716
0.47 0.69444
0.48 0.66692
0.49 0.626
0.5 0.59246
0.51 0.5499
0.52 0.49926
0.53 0.42978
0.54 0.33312
0.55 0.10684
0.56 1.99988e-05
0.57 0.0022
0.58 0.01818
0.59 -0.00886
0.6 -0.01606
0.61 -0.0024
0.62 -0.00912
0.63 0.00682
0.64 -0.00972
0.65 -0.00312
0.7 -0.0057
0.75 -0.0026
0.8 0.00504
0.85 0.00266
0.9 -0.0015
0.95 0.00484
